Course Code,Course Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS 2020,EOS 2019,EOS 2018
LM095,Materials and Engineering Technology with concurre,425,,367,,367,358,358
LM096,Science with Teacher Ed (Physical Sciences with Ch,454,,405,,405,382,382
LM097,Mathematics and Computer Science with concurrent T,465,,402,,402,,
LM099,Architecture,520,,498,,498,#419,#403
LM100,Physiotherapy,613,,589,,589,565*,566
LM101,Medicine  - Graduate Entry (GAMSAT required),57,,55,,55,#55*,#54*
LM102,Psychology,534,,509,,509,495,499
LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,429,,392,,392,#313,#373
LM105,Exercise and Health Fitness Management,441,,,,,,
LM115,Chemical and Biochemical Engineering,476,,454,,454,456,476
LM116,Engineering (Biomedical/Civil/Design and Manufactu,498,,476,,476,434,422
LM118,Electronic and Computer Engineering,445,,403,,403,401,411
LM121,Computer Science (Computer Systems/Games Dev/Cyber,402,,351,,351,352,332
LM122,Creative Media and Interaction Design (Digital Des,382,,327,,327,330,337
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,498,,441,,441,412,400
LM124,Mathematics (Math Science/Maths and Physics/Econom,455,,437,,437,e)427,433
LM125,Physics (Applied Physics or Mathematics and Physic,489,,404,,404,405,421
LM150,General Nursing,498,487,475,,475,440*,445
LM152,Mental Health Nursing,478,466,419,,419,388,402
LM154,Intellectual Disability Nursing,462,443,420,,440,381*,430
LM156,Midwifery,521,508,469,,469,429,430*
MU001,Theology and Arts,294,294,290,290,290,290,300
MU002,Theology,,,440,,440,292,337
MH001,Education - Primary Teaching (Froebel),564,,507,,507,496*,499
MH002,Education - Primary Teaching - Gaeltacht Applicant,,,,,,#441*,#474
MH003,Early Childhood - Teaching and Learning (full-time,381,,,,,,
MH101,Arts,338,336,318,,318,316,317
MH103,Music,,,#,,#,#,#
MH106,Psychology - 3 years,554,,521,,521,495,473
MH107,Social Science,390,,346,,346,326,346
MH109,Media Studies,324,,316,,316,317,317
MH116,Community and Youth Work (Full-Time),,,#,,#,#,#
MH201,Science,401,400,360,,360,350,350
MH202,Biotechnology,490,489,455,,455,429,429
MH203,Biological and Geographical Sciences,451,,430,,430,,
MH204,Physics with Astrophysics,422,,422,,422,420,425
MH206,Theoretical Physics and Mathematics,521,,510,,510,498,509
MH207,Data Science,444,,445,,445,434,
MH208,Biological and Biomedical Sciences,543,,498,,498,451,441
MH209,Psychology (through Science) - 4 years,529,,498,,498,473,467
MH210,Pharmaceutical and Biomedical Chemistry,510,,487,,487,446,446
MH212,Science|Maths and Computer Science|Mathematics (wi,452,443,422,,422,444,432
MH304,Engineering (Computer/Electronic/Communications),351,351,333,333,333,371,351
MH305,Product Design,326,,357,,357,358,356
MH306,Robotics and Intelligent Devices,362,,361,,361,361,351
MH401,Finance (options),370,,357,,357,352,353
MH402,Quantitative Finance,476,,476,,476,476,
MH403,Accounting and Finance,424,,422,,422,402,400
MH404,Business (options),441,,430,,430,400,400
MH407,Business and Accounting,423,,420,,420,401,401
MH411,Entrepreneurship,378,,371,,371,358,357
MH501,LLB Law - four year Single Major Law programme,507,,473,,473,451,451
MH502,Law (options),465,,451,,451,410,420
MH601,Computer Science through Arts (options),381,,352,,352,342,340
MH602,Computer Science through Science (options),400,,351,,351,357,351
MH603,Computational Thinking,520,,532,,532,520,498
MH801,Early Childhood - Teaching and Learning (part-time,,,327,,327,347,356
MH802,Community and Youth Work (part-time  in service),,,#,#,#,#,#
MH803,Local Studies/Community Studies (part-time  evenin,,,#,#,#,#,#
AS001,Education  Home Economics and Biology - with concu,542,533,510,,518,456*,462*
AS002,Education  Home Economics and Religious Ed - with,464,452,441,434,434,400*,433
AS003,Education  Home Economics and Irish - with concurr,463,457,440,440,440,421,409
AS051,Nutrition  Food and Business Management,378,347,328,317,317,337,252
AS054,Home Economics,440,419,408,398,398,387,
AS110,General Nursing,440,432,419,,419,391*,388*
AS130,Intellectual Disability Nursing,387,358,336,328,317,317,328
SG141,Business,262,,261,,261,252,252
SG145,Business and ICT,279,,,,,,
SG146,Accounting,304,,309,,309,307,318
SG147,Sport with Business,288,,307,,307,269,270
SG148,Tourism with Event Management,298,,269,,269,246,253
SG150,Business in Marketing,298,,,,,,
SG241,Performing Arts,341,,328,,328,279,288
SG242,Early Childhood Care and Education,287,,279,,279,278,272*
SG243,Social Care Practice,309,,301,,301,297,301
SG244,Fine Art,501,,505,,505,#355,#446
SG245,Creative Design,332,,282,,282,261,252
SG246,Computing,316,,290,,290,295,258
SG247,English and Psychology,319,,309,,309,308,297
SG248,Sociology and Politics,298,,281,,281,282,279
SG249,Writing and Literature,308,,297,,297,279,272
SG252,Software Development,310,,307,,307,300,260
SG253,Computing in Computer Networks and Cyber Security,336,,324,,378,273,272
SG254,Writing and Literature Online,327,,225,225,225,,
SG255,Law and Business,291,,,,,,
SG341,General Engineering,373,,,,,,
SG342,Civil Engineering,418,,415,,415,,
SG343,Quantity Surveying,300,,311,,311,261,261
SG344,Mechanical Engineering,412,,,,,,
