Course Code,Course Title,points_r1_2021,points_r2_2021,EOS 2021,EOS Mid 2021,points_r1_2020,points_r2_2020,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
DC110,Business Studies International,498.0,,498.0,526.0,465.0,,465.0,488.0,440.0,,445.0,475.0
DC111,Business Studies,511.0,,511.0,532.0,488.0,,488.0,507.0,463.0,,463.0,484.0
DC112,Global Business (France),542.0,,542.0,564.0,517.0,510.0,510.0,532.0,495.0,,487.0,510.0
DC113,Global Business (Germany),484.0,,484.0,529.0,462.0,,462.0,496.0,440.0,,455.0,499.0
DC114,Global Business (Spain),544.0,,544.0,562.0,522.0,,522.0,545.0,501.0,,499.0,543.0
DC115,Accounting and Finance,544.0,,544.0,578.0,510.0,,510.0,544.0,487.0,,480.0,499.0
DC116,Global Business (USA),613.0,,613.0,625.0,579.0,,579.0,601.0,578.0,,578.0,589.0
DC117,Aviation Management / Aviation Management with Pilot Studies,484.0,,484.0,520.0,476.0,475.0,475.0,500.0,463.0,,456.0,487.0
DC118,Gnó agus Gaeilge / Business and Irish,368.0,,368.0,419.0,359.0,,359.0,429.0,357.0,,362.0,403.0
DC119,Global Business (Canada),601.0,,601.0,601.0,564.0,,564.0,577.0,566.0,,565.0,566.0
DC120,Computing for Business,403.0,402.0,402.0,440.0,357.0,,357.0,392.0,350.0,,354.0,392.0
DC121,Computer Science,475.0,,476.0,498.0,400.0,,400.0,455.0,370.0,,377.0,418.0
DC123,Data Science,501.0,,501.0,542.0,465.0,,465.0,531.0,467.0,,476.0,531.0
DC126,Actuarial Mathematics,577.0,,577.0,601.0,560.0,,560.0,578.0,520.0,,520.0,544.0
DC127,Common Entry into Actuarial and Financial Mathematics,541.0,,541.0,566.0,532.0,520.0,520.0,543.0,509.0,,509.0,521.0
DC131,Communication Studies,421.0,,421.0,479.0,407.0,402.0,402.0,451.0,400.0,,403.0,462.0
DC132,Journalism,452.0,,452.0,487.0,429.0,422.0,422.0,466.0,401.0,,400.0,442.0
