,index,Course Code,Course Title,EOS,Mid,EOS_Points
295,16,GA879,Applied Social Care - Mayo Campus,262,359.0,262
296,17,GA970,Furniture Design and Manufacture - Letterfrack Campus,236,349.0,236
297,18,GA971,Furniture and Wood Technology - Letterfrack Campus,192,343.0,192
298,21,GB001,Business,144,350.0,144
299,24,LY107,Business - Common Entry with Degree Award options,169,327.0,169
300,25,LY116,"Business - Administration, IT and Customer Service",136,289.0,136
301,26,LY206,Sports Studies,137,243.0,137
302,27,LY207,Law - with Criminal Justice or Spanish or Irish,160,309.0,160
303,28,LY317,"Culinary Arts at Killybegs, Co Donegal",178,272.0,178
304,29,LY327,"Hospitality and Tourism, Killybegs (Common Entry-Degree Award options)",169,253.0,169
305,30,LY336,"Bar and Restaurant Supervision at Killybegs, Co Donegal",118,167.0,118
306,31,LY346,"Culinary Arts at Killybegs, Co Donegal",116,398.0,116
307,32,LY406,Photography,,,
308,33,LY427,Digital Film and Video,172,297.0,172
309,34,LY437,Animation,#218,346.0,#218
310,35,LY447,Fashion with Promotion,206,308.0,206
311,36,LY457,Graphic and Digital Design,180,289.0,180
312,37,LY507,Quantity Surveying,166,316.0,166
313,38,LY517,Building Services and Renewable Energy,,,
314,39,LY527,Civil Engineering,176,317.0,176
315,40,LY547,Architectural Technology,164,337.0,164
316,41,LY607,Electronic/Computer Engineering,164,351.0,164
317,42,LY617,Mechanical Engineering,199,339.0,199
318,43,LY707,Computer Games Development,198,289.0,198
319,44,LY717,Computing - Common Entry with Degree Award options,165,299.0,165
320,45,LY737,Computer Security and Digital Forensics,169,332.0,169
321,46,LY806,Pharmacy Technician,140,317.0,140
322,47,LY816,Dental Nursing,173,289.0,173
323,48,LY817,Bioscience,258,372.0,258
324,49,LY837,Food Science and Nutrition,189,343.0,189
325,50,LY847,Veterinary Nursing,356,388.0,356
326,51,LY867,Pharmaceutical and Medicinal Science,163,297.0,163
327,52,LY877,Agriculture,204,302.0,204
328,53,LY906,"Early Childhood Care, Health and Education",109,309.0,109
329,54,LY916,Health and Social Care,108,261.0,108
330,3,CI001,Counselling Skills and Psychotherapy Studies (Limerick),152,320.0,152
331,4,CI002,Counselling Skills and Addiction Studies (Limerick),168,307.0,168
332,5,CI005,Counselling Skills and Youth Studies (Limerick),171,373.0,171
333,8,LC111,Design in Fashion and Textiles for Product and Costume (Portfolio),#760,924.0,#760
334,9,LC221,Business (Accounting and Finance),252,441.0,252
335,10,LC222,Business (Marketing and Management),299,399.0,299
336,11,LC228,Sports Development and Coaching,250,327.0,250
337,12,LC230,Business Computing,250,336.0,250
338,13,LC235,Internet Systems Development,213,280.0,213
339,14,LC244,Sustainable Building and Energy Engineering,298,341.0,298
340,15,LC251,Civil Engineering,200,352.0,200
341,16,LC253,Construction,162,254.0,162
342,17,LC257,Interior Design and Technology,225,329.0,225
343,18,LC260,Applied Biology,227,409.0,227
344,19,LC267,Pharmaceutical and Forensic Analysis,279,382.0,279
345,20,LC268,Medical Technology,233,350.0,233
346,21,LC270,Music Technology and Production,327,405.0,327
347,22,LC271,Electrical Engineering,241,328.0,241
348,23,LC276,Creative Broadcast and Film Production,289,359.0,289
349,24,LC277,Industrial Automation and Robotic Systems,211,358.0,211
350,25,LC278,Renewable and Electrical Energy Engineering,215,331.0,215
351,26,LC279,Electronic Engineering,221,381.0,221
352,27,LC281,Automobile Technology,198,289.0,198
353,28,LC283,Precision Engineering,211,371.0,211
354,29,LC284,"Agricultural Mechanisation at Salesian Agricultural College, Pallaskenry",189,296.0,189
355,30,LC285,Mechanical Engineering,236,393.0,236
