,index,Course Code,INSTITUTION and COURSE,EOS,Mid
292,49,GA971,Furniture and Wood Technology - Letterfrack Campus,200,352.0
293,51,GB001,Business,AQA,358.0
294,53,LY107,Business (Common Entry),162,332.0
295,54,LY116,"Business - Administration, IT and Customer Service",179,272.0
296,0,LY206,Sports Studies,137,279.0
297,1,LY207,Law - with Criminal Justice/Spanish/Irish options,160,330.0
298,2,LY317,"Culinary Arts at Killybegs, Co Donegal",170,307.0
299,3,LY327,"Hospitality and Tourism at Killybegs, Co Donegal (Common Entry)",162,260.0
300,4,LY336,"Bar and Restaurant Supervision at Killybegs, Co Donegal",AQA,146.0
301,5,LY406,Photography,AQA,260.0
302,6,LY427,Digital Film and Video,170,272.0
303,7,LY437,Animation,#169,316.0
304,8,LY447,Fashion with Promotion,#266,347.0
305,9,LY457,Graphic and Digital Design,#171,296.0
306,10,LY507,Quantity Surveying,164,278.0
307,11,LY517,Building Services and Renewable Energy,210,298.0
308,12,LY527,Civil Engineering,166,351.0
309,13,LY547,Architectural Technology,182,291.0
310,14,LY607,Electronic/Computer Engineering (Common Entry),187,302.0
311,15,LY617,Mechanical Engineering,180,316.0
312,16,LY707,Computer Games Development,234,351.0
313,17,LY717,Computing,181,300.0
314,18,LY737,Computer Security and Digital Forensics,172,358.0
315,19,LY806,Pharmacy Technician,216,377.0
316,20,LY816,Dental Nursing,180,307.0
317,21,LY817,Bioscience,237,377.0
318,22,LY826,Health Science with Physiotherapy Studies,309,440.0
319,23,LY836,Health Science with Occupational Therapy Studies,245,382.0
320,24,LY837,Food Science and Nutrition,165,347.0
321,25,LY846,Health Science with Dietetics Studies,316,440.0
322,26,LY847,Veterinary Nursing,347*,378.0
323,27,LY867,Pharmaceutical & Medicinal Science,181,357.0
324,28,LY877,Agriculture,188,307.0
325,29,LY906,"Early Childhood Care, Health and Education",135,308.0
326,30,LY916,Health and Social Care,147,297.0
327,32,CI001,Counselling Skills and Psychotherapy Studies (Limerick),238,368.0
328,33,CI002,Counselling Skills and Addiction Studies (Limerick),236,326.0
329,34,CI005,Counselling Skills and Youth Studies (Limerick),233,328.0
330,36,LC221,Accounting and Finance,233,444.0
331,37,LC222,Marketing and Management,270,398.0
332,38,LC228,Sports Development and Coaching,253,329.0
333,39,LC230,Business with Computing,232,371.0
334,40,LC235,Internet Systems Development,226,298.0
335,41,LC251,Civil Engineering,200,366.0
336,42,LC253,Construction,172,290.0
337,43,LC257,Interior Design,231,369.0
338,44,LC260,Applied Biology,260,431.0
339,45,LC267,Forensic and Pharmaceutical Sciences,278,440.0
340,46,LC268,Medical Technology,287,413.0
341,47,LC270,Music Technology and Production,327,389.0
342,48,LC271,Electrical Engineering,241,329.0
343,49,LC276,Creative Broadcast and Film Production,300,389.0
344,50,LC277,Industrial Automation and Robotic Systems,226,364.0
345,51,LC278,Renewable and Electrical Energy Engineering,317,403.0
346,52,LC279,Electronic Engineering,200,382.0
347,53,LC281,Automobile Technology,208,298.0
348,54,LC283,Precision Engineering,242,425.0
349,0,LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",209,310.0
350,1,LC285,Mechanical Engineering,242,385.0
351,2,LC286,Road Transport Technology and Management,186,299.0
352,3,LC290,Community Sport Development,155,255.0
353,4,LC296,Hotel Front Office Management,178,249.0
354,5,LC298,Culinary Arts,148,280.0
355,6,LC299,Hospitality Studies,146,261.0
356,7,LC413,Marketing and Management (Thurles),136,339.0
357,8,LC423,Sports Strength and Conditioning (Thurles),169,299.0
358,9,LC425,Environmental and Geographic Sciences (Thurles),201,358.0
359,10,LC428,Environmental Management in Agriculture (Thurles),226,326.0
360,11,LC432,Early Childhood Education & Care (Thurles),163,337.0
361,12,LC504,Creative Media and Design (Clonmel),126,360.0
362,13,LC602,Social Care Work (Ennis),222,327.0
363,14,LC603,Early Childhood Education & Care (Ennis),126,327.0
364,16,LM180,Equine Science,338,413.0
365,18,SG101,Business,AQA,338.0
366,19,SG102,Computing (Level 6 - General Entry),190,318.0
367,20,SG105,Business in Office Administration,AQA,215.0
368,21,SG108,Business in Accounting,213,307.0
369,22,SG131,Computing - Games Development,168,260.0
370,23,SG134,Applied Sport with Business,AQA,236.0
371,24,SG135,Business in Tourism with Event Management,187,282.0
372,25,SG136,Computing - Software Development,207,295.0
373,26,SG137,Computing (Computer Networks and Cloud Infrastructure),244,290.0
374,27,SG138,Computing (Level 7 - General Entry),271,357.0
375,28,SG231,Fine Art,#248,454.0
376,29,SG232,Creative Design,207,338.0
377,30,SG235,Performing Arts (Theatre Design),216,431.0
378,31,SG236,Performing Arts (Acting),225,335.0
379,32,SG300,Engineering Undenominated,177,270.0
380,33,SG301,Civil Engineering,190,270.0
381,34,SG302,Construction Economics,161,190.0
382,35,SG303,Mechanical Engineering,AQA,318.0
383,36,SG305,Electronic and Computer Engineering,179,267.0
384,37,SG306,Mechatronics,260,260.0
385,38,SG308,Applied Construction Technology,328,336.0
386,39,SG330,Engineering Undenominated,233,404.0
387,40,SG331,Interior Architecture and Design,213,347.0
388,41,SG332,Advanced Wood and Sustainable Building Technology,180,289.0
389,42,SG333,Mechanical Engineering,216,309.0
390,43,SG334,Mechatronics,288,382.0
391,44,SG336,Precision Engineering and Design,263,404.0
392,45,SG337,Electronic and Computer Engineering,255,456.0
393,46,SG338,Civil Engineering,226,345.0
394,47,SG339,Quantity Surveying,188,300.0
395,48,SG401,Science,175,339.0
396,49,SG403,Applied Archaeology,297,328.0
397,50,SG406,Health and Exercise Science,397,456.0
398,51,SG431,Pharmaceutical Science with Drug Development,262,378.0
399,52,SG432,Environmental Protection,279,362.0
400,53,SG433,Occupational Safety and Health,224,339.0
401,54,SG434,Human Nutrition,288,409.0
402,0,SG435,Health Science and Physiology,288,413.0
403,1,SG436,Biomedical Science,268,444.0
404,2,SG437,Forensic Investigation and Analysis,237,348.0
405,3,SG438,Applied Archaeology,279,333.0
406,4,SG535,Business Administration,186,291.0
407,5,SG536,Business,183,338.0
408,6,SG537,Marketing and Sales,121,270.0
409,8,TL620,Culinary Arts,128,234.0
410,9,TL651,Science (Biological and Environmental Studies),207,357.0
411,10,TL652,Pharmacy Technician,250,367.0
412,11,TL710,Computing with Software Development,209,327.0
413,12,TL711,Computing with Games Development,202,321.0
414,13,TL712,Computing with Digital Media,243,352.0
415,14,TL715,Computing (Degree Award options),214,377.0
416,15,TL716,Computer Systems and Networking,309,309.0
417,16,TL719,Culinary Arts,321,368.0
418,17,TL731,Business (Major Specialism in: Acctng or Mktg or Mgmnt),207,373.0
419,18,TL742,Construction Management,,
420,19,TL744,Agricultural Engineering,228,324.0
421,20,TL745,Civil and Environmental Engineering,208,364.0
422,21,TL746,Engineering in Mechatronics Engineering,,
423,22,TL747,Engineering in Mechanical and Manufacturing Engineering,,
424,23,TL748,Agricultural Science,271,397.0
425,24,TL755,Pharmaceutical Science (Degree Award options),259,399.0
426,25,TL758,Animal Bioscience,250,356.0
427,26,TL771,Health and Leisure (Degree Award Options),215,387.0
428,27,TL772,Health and Leisure with Massage,216,405.0
429,28,TL773,Coaching and Sports Performance,120,329.0
430,29,TL780,Early Childhood Care and Education,201,360.0
431,30,TL781,Social Care,215,318.0
432,32,WD003,Business,136,292.0
