Course Code,Course Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS 2020,EOS 2019,EOS 2018
GA172,Rural Enterprise and Agri-Business,278.0,,277.0,,277.0,278.0,274.0
GA174,Marketing and Sales,278.0,,281.0,,282.0,283.0,281.0
GA175,Finance,318.0,,278.0,,278.0,301.0,280.0
GA176,Business with Entrepreneurship,278.0,,278.0,,278.0,272.0,273.0
GA272,Heritage Studies,174.0,174.0,188.0,188.0,188.0,160.0,161.0
GA273,Contemporary Art (portfolio),775.0,,702.0,,702.0,205.0,215.0
GA274,Design,271.0,,251.0,,251.0,214.0,225.0
GA360,Business in Tourism,171.0,,172.0,172.0,172.0,185.0,189.0
GA361,Culinary Arts,181.0,,193.0,,193.0,162.0,198.0
GA362,Hotel and Hospitality Operations,162.0,162.0,240.0,228.0,228.0,187.0,171.0
GA364,Heritage Studies,252.0,252.0,252.0,252.0,252.0,170.0,254.0
GA370,Hotel and Catering Management,163.0,163.0,198.0,,198.0,170.0,164.0
GA376,Event Management with Public Relations,216.0,,206.0,187.0,187.0,210.0,200.0
GA377,International Tourism Management,180.0,180.0,172.0,,172.0,176.0,162.0
