Course Code,Course Title,EOS 2021,EOS Mid 2021,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
GA472,Architectural Technology,260.0,466.0,226.0,367.0,200.0,352.0,228.0,357.0
GA473,Civil Engineering,304.0,434.0,241.0,432.0,247.0,387.0,241.0,403.0
GA570,Software and Electronic Engineering,225.0,400.0,224.0,399.0,204.0,389.0,207.0,317.0
GA670,Mechanical Engineering,294.0,431.0,265.0,413.0,261.0,392.0,260.0,414.0
GA673,Energy Engineering,279.0,359.0,260.0,452.0,275.0,362.0,242.0,333.0
GA674,Biomedical Engineering,308.0,520.0,298.0,455.0,303.0,454.0,308.0,434.0
GA675,Agricultural Engineering,290.0,420.0,298.0,386.0,282.0,369.0,280.0,389.0
GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),304.0,498.0,290.0,465.0,291.0,444.0,290.0,420.0
GA677,Manufacturing Engineering Design,308.0,378.0,235.0,379.0,235.0,299.0,216.0,411.0
GA770,Applied Freshwater and Marine Biology,303.0,429.0,280.0,388.0,280.0,379.0,280.0,387.0
GA771,Applied Biology and Biopharmaceutical Science,302.0,484.0,280.0,465.0,280.0,430.0,280.0,410.0
GA772,Chemical and Pharmaceutical Science,310.0,499.0,280.0,487.0,293.0,454.0,280.0,382.0
GA773,Physics and Instrumentation,302.0,465.0,299.0,521.0,308.0,403.0,305.0,465.0
GA774,Science (Undenominated),302.0,496.0,289.0,490.0,288.0,456.0,280.0,445.0
GA775,Computing in Software Development,280.0,391.0,260.0,356.0,261.0,343.0,260.0,361.0
GA776,Computing and Digital Media,244.0,352.0,241.0,381.0,240.0,308.0,240.0,329.0
GA777,Agriculture and Environmental Management,281.0,385.0,281.0,393.0,290.0,347.0,290.0,358.0
GA862,History and Geography,195.0,420.0,178.0,382.0,161.0,373.0,186.0,320.0
GA864,Early Childhood Education and Care,170.0,338.0,204.0,357.0,,,,
GA870,Outdoor Education and Leisure,166.0,407.0,171.0,399.0,161.0,308.0,171.0,346.0
GA871,Early Childhood Education and Care,171.0,423.0,190.0,367.0,190.0,367.0,200.0,349.0
GA872,Culture and Environment,201.0,246.0,196.0,328.0,224.0,268.0,228.0,316.0
GA876,Community Development and Youth Work (Level 7),,0.0,,,,,,
GA879,Applied Social Care,241.0,387.0,244.0,337.0,242.0,336.0,262.0,359.0
GA970,Furniture Design and Manufacture,302.0,360.0,,,225.0,372.0,236.0,349.0
GA971,Furniture Making and Architectural Woodworking,369.0,434.0,,,200.0,352.0,192.0,343.0
GA973,Furniture and Digital Manufacturing,,0.0,,,,,,
GA974,"Furniture Design, Making and Technology - Common Entry",422.0,464.0,214.0,388.0,,,,
GB001,Business,102.0,429.0,115.0,415.0,228.0,358.0,144.0,350.0
LY107,Business - Common Entry,169.0,399.0,161.0,358.0,162.0,332.0,169.0,327.0
LY206,Sports Studies,126.0,350.0,148.0,299.0,137.0,279.0,137.0,243.0
LY207,Law with Criminal Justice,161.0,408.0,160.0,377.0,160.0,330.0,160.0,309.0
LY317,Culinary Arts,186.0,317.0,224.0,387.0,170.0,307.0,178.0,272.0
LY327,Hospitality And Tourism - Common Entry,178.0,313.0,170.0,317.0,162.0,260.0,169.0,253.0
LY427,Digital Film and Video,217.0,378.0,172.0,307.0,170.0,272.0,172.0,297.0
LY437,Animation,183.0,419.0,198.0,387.0,169.0,316.0,218.0,346.0
LY447,Fashion with Promotion,189.0,370.0,266.0,384.0,266.0,347.0,206.0,308.0
LY457,Graphic and Digital Design,188.0,444.0,189.0,356.0,171.0,296.0,180.0,289.0
LY507,Quantity Surveying,163.0,326.0,181.0,312.0,164.0,278.0,166.0,316.0
LY527,Civil Engineering,164.0,344.0,163.0,329.0,166.0,351.0,176.0,317.0
LY606,Electric Vehicle Engineering,149.0,353.0,,,,,,
LY607,Electronic Engineering,198.0,433.0,160.0,389.0,187.0,302.0,164.0,351.0
LY617,Mechanical Engineering,163.0,360.0,180.0,328.0,180.0,316.0,199.0,339.0
LY707,Computer Games Development,206.0,342.0,204.0,299.0,234.0,351.0,198.0,289.0
LY717,Computing,160.0,371.0,160.0,350.0,181.0,300.0,165.0,299.0
LY737,Computer Security and Digital Forensics,161.0,348.0,169.0,348.0,172.0,358.0,169.0,332.0
LY806,Pharmacy Technician,172.0,429.0,232.0,377.0,216.0,377.0,140.0,317.0
LY816,Dental Nursing,180.0,327.0,223.0,326.0,180.0,307.0,173.0,289.0
LY817,Bioscience,250.0,393.0,248.0,420.0,237.0,377.0,258.0,372.0
LY826,Health Science with Physiotherapy Studies,463.0,532.0,339.0,445.0,309.0,440.0,,
LY836,Health Science with Occupational Therapy Studies,419.0,507.0,278.0,451.0,245.0,382.0,,
LY837,Food Science and Nutrition,215.0,430.0,194.0,388.0,165.0,347.0,189.0,343.0
LY846,Health Science with Dietetics Studies,264.0,485.0,291.0,462.0,316.0,440.0,,
LY847,Veterinary Nursing,389.0,431.0,367.0,399.0,347.0,378.0,356.0,388.0
LY867,Pharmaceutical and Medicinal Science,170.0,429.0,163.0,310.0,181.0,357.0,163.0,297.0
LY877,Agriculture,200.0,346.0,181.0,327.0,188.0,307.0,204.0,302.0
LY906,"Early Childhood Care, Health and Education",154.0,382.0,161.0,356.0,135.0,308.0,109.0,309.0
LY916,Health and Social Care,180.0,337.0,181.0,336.0,147.0,297.0,108.0,261.0
LC221,Accounting and Finance,243.0,507.0,251.0,489.0,233.0,444.0,252.0,441.0
LC222,Marketing and Management,259.0,430.0,270.0,405.0,270.0,398.0,299.0,399.0
LC228,Sports Development and Coaching,214.0,336.0,205.0,341.0,253.0,329.0,250.0,327.0
LC230,Business with Computing,224.0,418.0,217.0,386.0,232.0,371.0,250.0,336.0
LC235,Internet Systems Development,207.0,360.0,205.0,315.0,226.0,298.0,213.0,280.0
LC251,Civil Engineering,205.0,387.0,206.0,377.0,200.0,366.0,200.0,352.0
LC260,Applied Biology,338.0,499.0,326.0,466.0,260.0,431.0,227.0,409.0
LC267,Forensic and Pharmaceutical Sciences,400.0,498.0,329.0,443.0,278.0,440.0,279.0,382.0
LC268,Medical Technology,384.0,484.0,289.0,411.0,287.0,413.0,233.0,350.0
LC270,Music Technology and Production,354.0,467.0,307.0,398.0,327.0,389.0,327.0,405.0
LC271,Electrical Engineering,316.0,383.0,261.0,348.0,241.0,329.0,241.0,328.0
LC276,Creative Broadcast and Film Production,300.0,422.0,297.0,409.0,300.0,389.0,289.0,359.0
LC277,Industrial Automation and Robotic Systems,261.0,424.0,232.0,342.0,226.0,364.0,211.0,358.0
LC278,Renewable and Electrical Energy Engineering,283.0,390.0,280.0,387.0,317.0,403.0,215.0,331.0
LC279,Electronic Engineering with Computer Systems,242.0,423.0,226.0,392.0,200.0,382.0,221.0,381.0
LC281,Automobile Technology,277.0,318.0,208.0,332.0,208.0,298.0,198.0,289.0
LC283,Precision Engineering,207.0,378.0,233.0,296.0,242.0,425.0,211.0,371.0
LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",192.0,337.0,200.0,315.0,209.0,310.0,189.0,296.0
LC285,Mechanical Engineering,292.0,444.0,272.0,455.0,242.0,385.0,236.0,393.0
